,ticker,name,sector
149,FANG,Diamondback Energy,Energy
150,DLR,Digital Realty Trust Inc,Real Estate
151,DFS,Discover Financial Services,Financials
152,DISCA,Discovery Inc. Class A,Communication Services
153,DISCK,Discovery Inc. Class C,Communication Services
154,DISH,Dish Network,Communication Services
155,DG,Dollar General,Consumer Discretionary
156,DLTR,Dollar Tree,Consumer Discretionary
157,D,Dominion Energy,Utilities
158,DOV,Dover Corp.,Industrials
159,DOW,Dow Inc.,Materials
160,DWDP,DowDuPont,Materials
161,DTE,DTE Energy Co.,Utilities
162,DRE,Duke Realty Corp,Real Estate
163,DUK,Duke Energy,Utilities
164,DXC,DXC Technology,Information Technology
165,ETFC,E*Trade,Financials
166,EMN,Eastman Chemical,Materials
167,ETN,Eaton Corporation,Industrials
168,EBAY,eBay Inc.,Consumer Discretionary
169,ECL,Ecolab Inc.,Materials
170,EIX,Edison Int'l,Utilities
171,EW,Edwards Lifesciences,Health Care
172,EA,Electronic Arts,Communication Services
173,EMR,Emerson Electric Company,Industrials
174,ETR,Entergy Corp.,Utilities
175,EOG,EOG Resources,Energy
176,EFX,Equifax Inc.,Industrials
177,EQIX,Equinix,Real Estate
178,EQR,Equity Residential,Real Estate
179,ESS,"Essex Property Trust, Inc.",Real Estate
180,EL,Estee Lauder Cos.,Consumer Staples
181,EVRG,Evergy,Utilities
182,ES,Eversource Energy,Utilities
183,RE,Everest Re Group Ltd.,Financials
184,EXC,Exelon Corp.,Utilities
185,EXPE,Expedia Group,Consumer Discretionary
186,EXPD,Expeditors,Industrials
187,EXR,Extra Space Storage,Real Estate
188,XOM,Exxon Mobil Corp.,Energy
189,FFIV,F5 Networks,Information Technology
190,FB,"Facebook, Inc.",Communication Services
191,FAST,Fastenal Co,Industrials
192,FRT,Federal Realty Investment Trust,Real Estate
193,FDX,FedEx Corporation,Industrials
194,FIS,Fidelity National Information Services,Information Technology
195,FITB,Fifth Third Bancorp,Financials
196,FE,FirstEnergy Corp,Utilities
197,FRC,First Republic Bank,Financials
198,FISV,Fiserv Inc,Information Technology
199,FLT,FleetCor Technologies Inc,Information Technology
200,FLIR,FLIR Systems,Information Technology
201,FLS,Flowserve Corporation,Industrials
202,FLR,Fluor Corp.,Industrials
203,FMC,FMC Corporation,Materials
204,FL,Foot Locker Inc,Consumer Discretionary
205,F,Ford Motor,Consumer Discretionary
206,FTNT,Fortinet,Information Technology
207,FTV,Fortive Corp,Industrials
208,FBHS,Fortune Brands Home & Security,Industrials
209,BEN,Franklin Resources,Financials
210,FCX,Freeport-McMoRan Inc.,Materials
211,GPS,Gap Inc.,Consumer Discretionary
212,GRMN,Garmin Ltd.,Consumer Discretionary
213,IT,Gartner Inc,Information Technology
214,GD,General Dynamics,Industrials
215,GE,General Electric,Industrials
216,GIS,General Mills,Consumer Staples
217,GM,General Motors,Consumer Discretionary
218,GPC,Genuine Parts,Consumer Discretionary
219,GILD,Gilead Sciences,Health Care
220,GPN,Global Payments Inc.,Information Technology
221,GS,Goldman Sachs Group,Financials
222,GWW,Grainger (W.W.) Inc.,Industrials
223,HAL,Halliburton Co.,Energy
224,HBI,Hanesbrands Inc,Consumer Discretionary
225,HOG,Harley-Davidson,Consumer Discretionary
226,HRS,Harris Corporation,Industrials
227,HIG,Hartford Financial Svc.Gp.,Financials
228,HAS,Hasbro Inc.,Consumer Discretionary
229,HCA,HCA Holdings,Health Care
230,HCP,HCP Inc.,Real Estate
231,HP,Helmerich & Payne,Energy
232,HSIC,Henry Schein,Health Care
233,HSY,The Hershey Company,Consumer Staples
234,HES,Hess Corporation,Energy
235,HPE,Hewlett Packard Enterprise,Information Technology
236,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary
237,HFC,HollyFrontier Corp,Energy
238,HOLX,Hologic,Health Care
239,HD,Home Depot,Consumer Discretionary
240,HON,Honeywell Int'l Inc.,Industrials
241,HRL,Hormel Foods Corp.,Consumer Staples
242,HST,Host Hotels & Resorts,Real Estate
243,HPQ,HP Inc.,Information Technology
244,HUM,Humana Inc.,Health Care
245,HBAN,Huntington Bancshares,Financials
246,HII,Huntington Ingalls Industries,Industrials
247,IDXX,IDEXX Laboratories,Health Care
248,INFO,IHS Markit Ltd.,Industrials
249,ITW,Illinois Tool Works,Industrials
250,ILMN,Illumina Inc,Health Care
251,IR,Ingersoll-Rand PLC,Industrials
252,INTC,Intel Corp.,Information Technology
253,ICE,Intercontinental Exchange,Financials
254,IBM,International Business Machines,Information Technology
255,INCY,Incyte,Health Care
256,IP,International Paper,Materials
257,IPG,Interpublic Group,Communication Services
258,IFF,Intl Flavors & Fragrances,Materials
259,INTU,Intuit Inc. ,Information Technology
260,ISRG,Intuitive Surgical Inc.,Health Care
261,IVZ,Invesco Ltd.,Financials
262,IPGP,IPG Photonics Corp.,Information Technology
263,IQV,IQVIA Holdings Inc.,Health Care
264,IRM,Iron Mountain Incorporated,Real Estate
265,JKHY,Jack Henry & Associates Inc,Information Technology
266,JEC,Jacobs Engineering Group,Industrials
267,JBHT,J. B. Hunt Transport Services,Industrials
268,JEF,Jefferies Financial Group,Financials
269,SJM,JM Smucker,Consumer Staples
270,JNJ,Johnson & Johnson,Health Care
271,JCI,Johnson Controls International,Industrials
272,JPM,JPMorgan Chase & Co.,Financials
273,JNPR,Juniper Networks,Information Technology
274,KSU,Kansas City Southern,Industrials
275,K,Kellogg Co.,Consumer Staples
276,KEY,KeyCorp,Financials
277,KEYS,Keysight Technologies,Information Technology
278,KMB,Kimberly-Clark,Consumer Staples
279,KIM,Kimco Realty,Real Estate
280,KMI,Kinder Morgan,Energy
281,KLAC,KLA-Tencor Corp.,Information Technology
282,KSS,Kohl's Corp.,Consumer Discretionary
283,KHC,Kraft Heinz Co,Consumer Staples
284,KR,Kroger Co.,Consumer Staples
285,LB,L Brands Inc.,Consumer Discretionary
286,LLL,L-3 Communications Holdings,Industrials
287,LH,Laboratory Corp. of America Holding,Health Care
288,LRCX,Lam Research,Information Technology
289,LW,Lamb Weston Holdings Inc,Consumer Staples
290,LEG,Leggett & Platt,Consumer Discretionary
291,LEN,Lennar Corp.,Consumer Discretionary
