Date,ABEV3,BTOW3,B3SA3,BBAS3,BBDC3,BBDC4,BRAP4,BRKM5,BRFS3,CCRO3,CMIG4,CIEL3,CPLE6,CSAN3,CPFE3,CSNA3,CYRE3,ECOR3,ENBR3,ELET3,ELET6,EMBR3,EGIE3,ESTC3,GGBR4,GOLL4,PCAR4,HYPE3,IGTA3,ITUB4,ITSA4,JBSS3,KLBN11,KROT3,RENT3,LAME4,LREN3,GOAU4,MRVE3,NATU3,PETR3,PETR4,RAIL3,SBSP3,SANB11,VIVT4,TIMP3,UGPA3,USIM5,VALE3,WEGE3
2007-01-02,0.6979014277458191,63.76339340209961,,12.89762020111084,7.69841194152832,,16.813556671142578,9.901044845581056,13.822746276855467,2.886265516281128,8.233012199401855,,15.21449375152588,31.12020874023437,6.6104254722595215,6.117140293121338,8.136515617370605,,3.90482497215271,18.46749496459961,,19.33609390258789,6.720344543457031,,14.107718467712402,61.31349182128906,,,,9.5474853515625,3.36710524559021,,,,4.122016906738281,7057.28857421875,2.1751649379730225,18.14059829711914,,20.741214752197266,25.323638916015625,19.54857444763184,,5.8808770179748535,,24.67050361633301,10.175593376159668,,15.985490798950195,21.73228073120117,3.093448638916016
2007-01-03,0.6941935420036316,62.8838996887207,,12.666094779968262,7.6158485412597665,,16.318174362182614,9.901044845581056,13.454017639160154,2.8718340396881104,8.203852653503418,,15.232573509216307,29.96521759033203,6.457184791564941,5.921203136444093,8.37465763092041,,3.90482497215271,17.90633773803711,,19.42438507080078,6.762369155883789,,13.782159805297852,59.98058700561523,,,,9.604795455932617,3.4007160663604736,,,,4.090310573577882,7085.6318359375,2.16497015953064,17.684585571289062,,20.338478088378906,24.34703254699707,18.95418739318848,,5.863678455352782,,24.986804962158203,9.873671531677246,,15.431468963623047,20.668928146362305,3.081595659255981
2007-01-04,0.6941935420036316,65.08269500732422,,13.127196311950685,7.644246578216553,,16.165624618530273,9.901044845581056,13.666036605834961,2.7900564670562744,8.058112144470215,,15.545900344848633,28.98833465576172,6.325860023498535,5.784708499908447,8.557232856750487,,3.841373443603516,17.90633773803711,,19.362586975097656,6.7585506439208975,,13.506978988647461,59.74256896972656,,,,9.513381958007812,3.4159932136535645,,,,4.312262058258057,7006.2734375,2.2703299522399902,17.600582122802734,,20.137104034423828,23.62025260925293,18.530742645263672,,5.8337836265563965,,24.99129867553711,9.416708946228027,,15.243535995483398,20.33662986755371,3.081595659255981
2007-01-05,0.6813662648200989,61.34480667114258,,12.558135032653807,7.336000919342041,,15.289676666259766,9.292744636535645,13.043804168701172,2.7794737815856934,7.6938538551330575,,14.58181381225586,26.73106384277344,6.172621250152588,5.617574214935303,8.533416748046875,,3.6363811492919917,17.155769348144528,,18.594432830810547,6.571343421936035,,12.94499397277832,57.13388061523438,,,,9.147441864013672,3.2784953117370605,,,,4.217140197753906,6575.462890625,2.2023556232452397,16.620548248291016,,19.23764991760254,23.166019439697266,17.96743392944336,,5.496469497680664,,23.85269927978516,9.057666778564453,,14.46204662322998,19.472654342651367,3.081595659255981
2007-01-08,0.6934414505958557,60.729209899902344,,12.852465629577635,7.569931507110597,,16.223031997680664,9.435112953186037,13.08989715576172,2.7323312759399414,7.781272888183594,,14.883090019226074,28.05109405517578,6.240485191345215,5.717855453491211,8.942229270935059,,3.801126718521118,17.048587799072266,,18.67389678955078,6.689779758453369,,13.251175880432127,56.591209411621094,,,,9.345067977905273,3.4068286418914795,,,,4.312262058258057,7054.455078125,2.1595299243926998,17.120567321777347,,19.60011482238769,23.302288055419922,18.17721939086914,,5.278131484985352,,24.313575744628906,8.910785675048828,,14.600574493408205,20.203712463378906,3.356566429138184
2007-01-09,0.6882864236831665,60.42130661010742,,12.715130805969238,7.376333713531494,,15.908084869384766,9.215088844299316,12.914751052856445,2.643819093704224,7.664695262908935,,14.762575149536133,26.922496795654297,6.266749858856201,5.589719295501709,8.652488708496094,,3.752305269241333,16.86989974975586,,18.409019470214844,6.617189407348633,,12.848097801208494,57.12437057495117,,,,9.144999504089355,3.290721654891968,,,,4.286898136138916,6972.2607421875,2.100393056869507,16.620548248291016,,19.902170181274414,22.84805107116699,17.62168312072754,,5.288177013397217,,23.72161865234375,8.568060874938965,,14.38298797607422,19.68865203857422,3.10529899597168
2007-01-10,0.6868095993995667,60.68520736694336,,12.675864219665527,7.340591907501222,,16.200071334838867,9.221561431884766,13.440190315246582,2.4485154151916504,16667.525390625,,14.97347354888916,26.73106384277344,6.216396808624268,5.6640381813049325,8.334966659545897,,3.782824039459229,17.191518783569336,,18.6297607421875,6.628651142120361,,12.964372634887695,58.1050033569336,,,,9.148687362670898,3.6130695343017583,,,,4.217140197753906,7074.2939453125,2.1411771774291988,17.160564422607422,,19.821622848510746,22.80263328552246,17.578947067260742,,2168070.75,,23.65388298034668,5410.11962890625,,14.835965156555176,20.43631935119629,3.10529899597168
2007-01-11,0.6949329972267151,60.86111068725586,,12.866243362426758,7.432344436645508,,16.564226150512695,9.726319313049316,13.61994457244873,2.4590981006622314,7.883272647857666,,15.063858032226562,27.18644523620605,6.260173797607423,5.6640381813049325,8.255586624145508,,3.782824039459229,17.155769348144528,,18.76219749450684,6.762369155883789,,12.948867797851562,59.13324737548828,,,,9.293800354003906,3.299887657165528,,,,4.3084564208984375,6955.25634765625,2.1547741889953613,17.140565872192386,,19.365182876586914,22.87076568603516,17.5517578125,,5.119412422180176,,23.58608436584473,9.261667251586914,,14.853768348693848,20.562593460083008,3.110039234161377
2007-01-12,0.7104350924491882,63.23569107055664,,12.911331176757812,7.579119205474853,,16.797155380249027,9.93340015411377,13.394098281860352,2.4475531578063965,7.927013397216798,,15.063858032226562,27.22608757019043,6.271149635314941,5.739248275756836,8.15635871887207,,3.782824039459229,17.295198440551758,,18.541460037231445,6.64775276184082,,12.906238555908205,60.36141967773438,,,,9.330409049987793,3.312108039855957,,,,4.242504596710205,6796.53564453125,2.107189893722534,16.900556564331055,,19.835044860839844,22.947982788085934,17.563409805297848,,5.199552059173584,,23.67648124694824,9.375906944274902,,14.887422561645508,21.13414192199707,2.552800416946411
2007-01-15,0.7156103849411011,64.20318603515625,,13.10759735107422,7.6158485412597665,,17.223644256591793,9.784561157226562,12.997715950012207,2.501430034637451,16948.63671875,,15.124112129211426,27.72110748291016,6.163865566253662,5.7522292137146,8.057133674621582,,3.7583942413330083,16.86989974975586,,18.85047912597656,6.64775276184082,,12.751206398010256,58.647682189941406,,,,9.375558853149414,3.68028736114502,,,,4.311627388000488,6909.3427734375,2.107189893722534,16.660551071166992,,19.465866088867188,22.82079887390137,17.439102172851562,,2260237.75,,23.99272727966309,5467.240234375,,14.778631210327148,21.13414192199707,3.2821714878082275
